Title,Year,Link,Episodes,Aired,Aired_start,Aired_end,AiredOn,Duration,Duration_min,ContentRating,RatingScore,RatingVotes,WatchPlatforms,Format,Genres,Tags,Director,Screenwriter,Ranked,Popularity,Watchers,Has_dubbing_prob,Has_dubbing_pred
Spice up Our Love,2024,https://mydramalist.com/771001-the-boss-s-menu-table,2,"Oct  3, 2024","Oct  3, 2024",,Thursday,50 min.,50,15+ - Teens 15 or older,7.7,12332,Amazon Prime Video,Standard Series,"Comedy, Romance, Fantasy","Nutritionist Female Lead, Writer Female Lead, Company President (CEO) Male Lead, Transmigration, Post-Credit Scene, Evil Ex, City Setting, Secretary Supporting Character, Trip Abroad, Age Gap [Real Life], (Vote tags)",Jung Hoon,Cho Min Jeong,4472,875,12332,0.71,1
The Pork Cutlets,2024,https://mydramalist.com/766343-i-hate-pork-cutlet,2,"Jul  5, 2024 - Jul  6, 2024","Jul  5, 2024","Jul  6, 2024","Friday, Saturday",60 min.,60,Not Yet Rated,7.7,466,"Apple TV+, Viki",Drama Special,"Comedy, Life","Village Chief Male Lead, Village Setting, Unexpected Pregnancy, (Vote tags)",,,4295,7996,466,0.91,1
Color Rush 2: Making Film,2022,https://mydramalist.com/719487-color-rush-2-making-film,2,"Jan 21, 2022","Jan 21, 2022",,Friday,3 min.,3,Not Yet Rated,7.7,65,Viki,Drama Special,Documentary,"Behind The Scenes, (Vote tags)",,,39374,20085,65,0.42,0
Drama Special Season 11: A Jaunt,2020,https://mydramalist.com/73561-drama-special-trip,1,"Dec  3, 2020","Dec  3, 2020",,Thursday,1 hr. 4 min.,64,15+ - Teens 15 or older,7.7,62,Viki,Drama Special,Drama,"Neurological Disorder, Family Relationship, Dementia, Disability, Illness, Friendship, (Vote tags)",Yoo Kwan Mo,Yeo Myung Jae,39781,99999,62,0.28,0
"2021, Let's Go to School!",2021,https://mydramalist.com/715673-2021-let-s-go-to-school,1,"Nov 18, 2021","Nov 18, 2021",,Thursday,60 min.,60,15+ - Teens 15 or older,7.7,106,Viki,Drama Special,Documentary,"Behind The Scenes, (Vote tags)",,,39257,18146,106,0.35,0
Drama Special Season 12: The Palace,2021,https://mydramalist.com/708981-drama-special-season-12-them,1,"Dec  3, 2021","Dec  3, 2021",,Friday,1 hr. 5 min.,65,Not Yet Rated,7.7,223,Viki,Drama Special,Historical,"Palace Setting, Female Centered Plot, Court Lady Female Lead, (Vote tags)",Lee Woong Hee,Kang Han,4585,13686,223,0.35,0
Roommates of Poongduck 304 Special,2022,https://mydramalist.com/743807-roommates-of-poongduck-304-special,1,"Nov  3, 2022","Nov  3, 2022",,,17 min.,17,Not Yet Rated,7.7,239,Viki,Drama Special,Documentary,"Video Reaction, (Vote tags)",,,4644,11110,239,0.42,0
Forest,2020,https://mydramalist.com/33186-secret,32,"Jan 29, 2020 - Mar 19, 2020","Jan 29, 2020","Mar 19, 2020","Wednesday, Thursday",31 min.,31,15+ - Teens 15 or older,7.8,8561,"Apple TV+, Viki",Standard Series,"Business, Psychological, Romance, Medical","Amnesia, Rich Male Lead, Trauma, Cohabitation, Dissociative Amnesia, Love/Hate Relationship, Orphan Male Lead, Successful Male Lead, Healing, Hardworking Female Lead, (Vote tags)",Oh Jong Rok,Lee Sun Young,3499,803,8561,0.6,1
Soul Mechanic,2020,https://mydramalist.com/50943-soul-repairer,32,"May  6, 2020 - Jun 25, 2020","May  6, 2020","Jun 25, 2020","Wednesday, Thursday",35 min.,35,15+ - Teens 15 or older,7.8,3306,Viki,Standard Series,"Comedy, Romance, Drama, Medical","Nice Male Lead, Older Man/Younger Woman, Eccentric Male Lead, Character Development, Slow Burn Romance, Father-Son Relationship, Friendship, Hardworking Male Lead, Dementia, Crime Against Morality, (Vote tags)",Yoo Hyun Ki,Lee Hyang Hee,3561,1804,3306,0.25,0
The Game: Towards Zero,2020,https://mydramalist.com/38723-the-game-towards-midnight,32,"Jan 22, 2020 - Mar 12, 2020","Jan 22, 2020","Mar 12, 2020","Wednesday, Thursday",30 min.,30,15+ - Teens 15 or older,7.8,5314,Viki,Standard Series,"Thriller, Mystery, Psychological, Supernatural","Supernatural Power, Death, Smart Male Lead, Murder, Orphan Female Lead, Teamwork, Child Abandonment, Rich Male Lead, Investigation, Suspense, (Vote tags)",Jang Joon Ho,Lee Ji Hyo,3581,1273,5314,0.25,0
Kkondae Intern,2020,https://mydramalist.com/54683-old-school-intern,24,"May 20, 2020 - Jul  1, 2020","May 20, 2020","Jul  1, 2020","Wednesday, Thursday",35 min.,35,15+ - Teens 15 or older,7.8,3158,"Netflix, Viki, WeTV",Standard Series,"Business, Comedy, Life, Drama","Bromance, Food, Rivalry, Revenge, Co-workers' Relationship, Workplace Setting, Senior-Junior Relationship, Age Gap [Real Life], Hatred, Flashback To Past, (Vote tags)",Nam Sung Woo,Shin So Ra,3850,2175,3158,0.85,1
The One and Only,2021,https://mydramalist.com/686407-only-one-person,16,"Dec 20, 2021 - Feb  8, 2022","Dec 20, 2021","Feb  8, 2022","Monday, Tuesday",1 hr. 10 min.,70,15+ - Teens 15 or older,7.8,4823,"Amazon Prime Video, Netflix, Viki",Standard Series,"Mystery, Romance, Drama, Melodrama","Terminal Illness, Hospice Care, Orphan Male Lead, Murder, Investigation, Skilled Killer, Death, Cynical Male Lead, Insomnia, Repentance, (Vote tags)",Oh Hyun Jong,Moon Jung Min,3383,1144,4823,1,1
Battle for Happiness,2023,https://mydramalist.com/737445-happiness-battle,16,"May 31, 2023 - Jul 20, 2023","May 31, 2023","Jul 20, 2023","Wednesday, Thursday",60 min.,60,Not Yet Rated,7.8,1251,"Amazon Prime Video, Viki",Standard Series,"Thriller, Mystery, Drama","Female Centered Plot, Office Worker Supporting Character, Office Worker Female Lead, Child Supporting Character, Teacher Supporting Character, Attorney Supporting Character, Doctor Supporting Character, Hatred, Flashback To Past, Social Media, (Vote tags)",Kim Yoon Cheol,Joo Young Ha,3315,3765,1251,0.74,1
Delightfully Deceitful,2023,https://mydramalist.com/721135-beneficial-fraud,16,"May 29, 2023 - Jul 18, 2023","May 29, 2023","Jul 18, 2023","Monday, Tuesday",1 hr. 2 min.,62,15+ - Teens 15 or older,7.8,5070,"Apple TV+, Netflix",Standard Series,"Comedy, Crime, Drama","Revenge, Polar Opposites, Trauma, Swindler Female Lead, Teamwork, Smart Female Lead, Fraud, Breaking The Fourth Wall, Nice Male Lead, Lawyer Male Lead, (Vote tags)",Lee Soo Hyun,Han Woo Joo,3201,1179,5070,1,1
Eve,2022,https://mydramalist.com/710941-eve-s-scandal,16,"Jun  1, 2022 - Jul 21, 2022","Jun  1, 2022","Jul 21, 2022","Wednesday, Thursday",1 hr. 7 min.,67,18+ Restricted (violence & profanity),7.8,13484,"Apple TV+, Netflix, Viki, iQIYI",Standard Series,"Romance, Drama, Melodrama","Revenge, Scheme, Death, Rich Female Lead, Orphan Male Lead, Rich Male Lead, Company President (CEO) Male Lead, Married Life, Sexual Tension, Infidelity, (Vote tags)",Park Bong Sub,Yoon Young Mi,3338,517,13484,1,1
"Cheat On Me, if You Can",2020,https://mydramalist.com/58595-when-the-wind-blows-and-dies,16,"Dec  2, 2020 - Jan 28, 2021","Dec  2, 2020","Jan 28, 2021","Wednesday, Thursday",1 hr. 5 min.,65,15+ - Teens 15 or older,7.8,4001,"Apple TV+, Viki",Standard Series,"Thriller, Mystery, Comedy, Romance","Eccentric Female Lead, Infidelity, Older Woman/Younger Man, Investigation, Successful Female Lead, Successful Male Lead, Betrayed By A Significant Other, Student Female Lead, TV Presenter Supporting Character, Police Department Setting, (Vote tags)","Kim Min Tae, Kim Hyoung Seok",Lee Sung Min,3724,1686,4001,0.63,1
Mental Coach Jegal,2022,https://mydramalist.com/715509-mental-coach-je-gal-gil,16,"Sep 12, 2022 - Nov  1, 2022","Sep 12, 2022","Nov  1, 2022","Monday, Tuesday",1 hr. 10 min.,70,15+ - Teens 15 or older,7.8,1253,"Apple TV+, Viki",Standard Series,"Comedy, Drama, Sports","Slight Romance, Slow Burn Romance, Coach Male Lead, Athlete Female Lead, Short Track Speed Skating, Former Athlete Male Lead, Multiple Mains, Photographer Supporting Character, Age Gap [Drama Life], Age Gap [Real Life], (Vote tags)","Son Jung Hyun, Kim Tae Yub",Kim Ban Di,3360,3728,1253,0.77,1
Money Game,2020,https://mydramalist.com/34172-money-game,16,"Jan 15, 2020 - Mar  5, 2020","Jan 15, 2020","Mar  5, 2020","Wednesday, Thursday",1 hr. 10 min.,70,15+ - Teens 15 or older,7.8,705,"Apple TV+, WeTV",Standard Series,"Mystery, Business, Drama, Political","Power Struggle, Corruption, Teamwork, Investigation, Hardworking Female Lead, Character Development, Conspiracy, Orphan Female Lead, Scheme, Workplace Violence, (Vote tags)",Kim Sang Ho,Lee Young Mi,3676,4494,705,0.58,0
Secret Royal Inspector & Joy,2021,https://mydramalist.com/685971-eosajoidyeon,16,"Nov  8, 2021 - Dec 28, 2021","Nov  8, 2021","Dec 28, 2021","Monday, Tuesday",60 min.,60,15+ - Teens 15 or older,7.8,8264,"Hulu, Netflix, Viki, WeTV, iQIYI",Standard Series,"Historical, Mystery, Comedy, Romance","Divorced Female Lead, Investigation, Joseon Dynasty, Sexism, Age Gap [Real Life], Investigator Male Lead, Eccentric Female Lead, Corruption, Death Of A Friend, Smart Male Lead, (Vote tags)",Yoo Jong Sun,Lee Jae Yoon,3321,896,8264,1,1
Today's Webtoon,2022,https://mydramalist.com/695899-today-s-webtoon,16,"Jul 29, 2022 - Sep 17, 2022","Jul 29, 2022","Sep 17, 2022","Friday, Saturday",1 hr. 10 min.,70,15+ - Teens 15 or older,7.8,9044,"Hulu, Viki",Standard Series,"Business, Comedy, Life, Drama","Co-workers' Relationship, Workplace Setting, Nice Female Lead, Hardworking Female Lead, Webtoon Artist Supporting Character, Manhwa Artist Supporting Character, Editor Female Lead, Adapted From A Manga, Cheerful Female Lead, Former Athlete Female Lead, (Vote tags)","Jo Soo Won, Kim Young Hwan","Jo Hyun Joo, Cho Ye Rang, Lee Jae Eun",3330,755,9044,0.47,0
Sisyphus: The Myth,2021,https://mydramalist.com/43827-sisyphus-the-myth,16,"Feb 17, 2021 - Apr  8, 2021","Feb 17, 2021","Apr  8, 2021","Wednesday, Thursday",1 hr. 10 min.,70,15+ - Teens 15 or older,7.8,17334,Netflix,Standard Series,"Action, Thriller, Mystery, Sci-Fi","Time Travel, Rich Male Lead, Slight Romance, Sassy Female Lead, Future, Pre-Produced, Investigation, Suspense, Dystopia, Nice Male Lead, (Vote tags)","Jin Hyeok, Kim Seung Ho","Jeon Chan Ho, Lee Je In",3829,441,17334,0.8,1
When My Love Blooms,2020,https://mydramalist.com/51155-the-most-beautiful-moment-in-life,16,"Apr 25, 2020 - Jun 14, 2020","Apr 25, 2020","Jun 14, 2020","Saturday, Sunday",60 min.,60,15+ - Teens 15 or older,7.8,6030,"Netflix, Tubi, WeTV, iQIYI",Standard Series,"Romance, Life, Drama, Melodrama","Flashback To Past, Female Chases Male First, First Love, Rich Man/Poor Woman, Mother-Son Relationship, Father-Son Relationship, Business Industry, Emotionally Strong Female Lead, Student Female Lead, Student Male Lead, (Vote tags)","Son Jung Hyun, Kim Tae Yub",Jeon Hui Yeong,3401,1134,6030,0.88,1
The Matchmakers,2023,https://mydramalist.com/747083-sending-me-to-you,16,"Oct 30, 2023 - Dec 25, 2023","Oct 30, 2023","Dec 25, 2023","Monday, Tuesday",1 hr. 10 min.,70,15+ - Teens 15 or older,7.8,6528,"Netflix, Viki",Standard Series,"Historical, Comedy, Romance","Matchmaking, Joseon Dynasty, Matchmaker Female Lead, Widow Female Lead, Widower Male Lead, Historical Fiction, Teamwork, Breaking The Fourth Wall, Flashback To Past, Grumpy Male Lead, (Vote tags)",Hwang Seung Gi,Ha Soo Jin,3239,1039,6528,1,1
Check in Hanyang,2024,https://mydramalist.com/749891-dohwa-gaekju,16,"Dec 21, 2024 - Feb  9, 2025","Dec 21, 2024","Feb  9, 2025","Saturday, Sunday",1 hr. 10 min.,70,15+ - Teens 15 or older,7.8,3818,"Netflix, Viki",Standard Series,"Historical, Romance, Youth, Drama","Guest House Setting, Boarding House Setting, Historical Fiction, Joseon Dynasty, Cross-Dressing, Bromance, Friendship, Emotionally Strong Female Lead, Evil Parent, Intern Female Lead, (Vote tags)",Myung Hyun Woo,Park Hyun Jin,3612,1729,3818,1,1
Good Casting,2020,https://mydramalist.com/36491-miss-casting,16,"Apr 27, 2020 - Jun 16, 2020","Apr 27, 2020","Jun 16, 2020","Monday, Tuesday",1 hr. 5 min.,65,15+ - Teens 15 or older,7.8,3841,Viki,Standard Series,"Action, Mystery, Comedy, Crime","Espionage, First Love, Investigation, National Intelligence Service, Older Woman/Younger Man, Sismance, Romance, Slight Romance, Rich Male Lead, Multiple Mains, (Vote tags)",Choi Young Hoon,Park Ji Ha,3490,1941,3841,0.28,0
The Escape of the Seven: Resurrection,2024,https://mydramalist.com/750239-7-escape-season-2,16,"Mar 29, 2024 - May 18, 2024","Mar 29, 2024","May 18, 2024","Friday, Saturday",1 hr. 10 min.,70,15+ - Teens 15 or older,7.8,2405,Viki,Standard Series,"Thriller, Mystery, Drama","Revenge, Betrayal, Suspense, Hatred, Picaresque, Secret, Survival, Investigation, Melodrama, Multiple Mains, (Vote tags)","O Jun Hyeok, Oh Song Hee",Kim Soon Ok,3766,2622,2405,0.56,0
Be My Boyfriend,2021,https://mydramalist.com/682945-contract-love-from-today,15,"Feb 25, 2021 - Apr 15, 2021","Feb 25, 2021","Apr 15, 2021","Tuesday, Thursday",13 min.,13,13+ - Teens 13 or older,7.8,11246,"Apple TV+, Viki, WeTV",Standard Series,"Comedy, Romance, Youth, Drama","Contract Relationship, High School, Web Series, Emotionally Strong Female Lead, Ex Comes Back, Student Supporting Character, Student Female Lead, Student Male Lead, School Setting, Teenager Supporting Character, (Vote tags)",Lee Si Young,Han Song Yi,3305,962,11246,0.75,1
Longing for You,2023,https://mydramalist.com/739355-i-ve-been-waiting-for-you-for-a-long-time,14,"Jul 26, 2023 - Sep  7, 2023","Jul 26, 2023","Sep  7, 2023","Wednesday, Thursday",1 hr. 10 min.,70,15+ - Teens 15 or older,7.8,2741,"Netflix, Viki",Standard Series,"Action, Thriller, Mystery, Drama","Revenge, Hot-Tempered Male Lead, Mother-Son Relationship, Murder, Investigation, Crime Against Morality, Sexual Violence, Emotionally Strong Male Lead, Professional Male Lead, Childhood Friends' Relationship, (Vote tags)","Han Cheol Soo, Kim Yong Min",Kwon Min Soo,3804,1999,2741,1,1
The Cursed,2020,https://mydramalist.com/38939-method,12,"Feb 10, 2020 - Mar 17, 2020","Feb 10, 2020","Mar 17, 2020","Monday, Tuesday",1 hr. 3 min.,63,15+ - Teens 15 or older,7.8,3266,"Amazon Prime Video, Apple TV+, Netflix, Tubi, WeTV, iQIYI",Standard Series,"Thriller, Mystery, Horror, Supernatural","Shamanism, Curse, Gore, School Bullying, Investigation, Occult, Smart Female Lead, Spirit, Death, Murder, (Vote tags)",Kim Yong Wan,Yeon Sang Ho,3566,2152,3266,1,1
My Lovely Boxer,2023,https://mydramalist.com/738823-pure-boxer,12,"Aug 21, 2023 - Oct  2, 2023","Aug 21, 2023","Oct  2, 2023","Monday, Tuesday",1 hr. 10 min.,70,15+ - Teens 15 or older,7.8,3282,"Amazon Prime Video, Viki",Standard Series,"Romance, Youth, Drama, Sports","Boxer Female Lead, Boxing, Age Gap [Real Life], Age Gap [Drama Life], Competition, Selfish Parent, Cruel Male Lead, Bickering Mains' Relationship, Former Athlete Supporting Character, Former Athlete Female Lead, (Vote tags)","Hong Eun Mi, Choi Sang Yeol",Kim Min Ju,3594,1908,3282,0.74,1
Kiss Goblin,2020,https://mydramalist.com/58877-kiss-ghost,12,"Jul 28, 2020 - Sep  3, 2020","Jul 28, 2020","Sep  3, 2020","Tuesday, Thursday",12 min.,12,15+ - Teens 15 or older,7.8,13781,"Apple TV+, Viki",Standard Series,"Comedy, Romance, Fantasy, Supernatural","Web Series, Supernatural Power, Interspecies Romance, Short Length Series, Dokkaebi, Fate, Supernatural Being, Memory Erasure, Attempted Murder, University, (Vote tags)",,,3365,809,13781,0.63,1
Numbers,2023,https://mydramalist.com/744307-accounting-firm,12,"Jun 23, 2023 - Jul 29, 2023","Jun 23, 2023","Jul 29, 2023","Friday, Saturday",60 min.,60,15+ - Teens 15 or older,7.8,4551,"Apple TV+, Viki",Standard Series,"Action, Thriller, Mystery, Drama","Accountant Male Lead, Corruption, Bromance, Smart Male Lead, Workplace Setting, Office Setting, Workplace Politics, Revenge, High School To Working Life, Business Industry, (Vote tags)",Kim Chil Bong,"Oh Hye Seok, Jung An",3334,1421,4551,0.84,1
The Potato Lab,2025,https://mydramalist.com/766273-potato-research-center,12,"Mar  1, 2025 - Apr  6, 2025","Mar  1, 2025","Apr  6, 2025","Saturday, Sunday",1 hr. 15 min.,75,15+ - Teens 15 or older,7.8,14069,Netflix,Standard Series,"Comedy, Romance","Remorseful Male Lead, Retail Industry, Emotionally Strong Female Lead, Ostracized Female Lead, Research Center Setting, Passionate Female Lead, Guest House Setting, Intern Supporting Character, Starting Over, Bickering Mains' Relationship, (Vote tags)","Kang Il Soo, Shim Jae Hyun",Kim Ho Soo,3805,643,14069,1,1
Ga Doo Ri’s Sushi Restaurant,2020,https://mydramalist.com/58433-ga-doo-ri-s-sushi-restaurant,12,"Jun  9, 2020 - Jul 16, 2020","Jun  9, 2020","Jul 16, 2020","Tuesday, Thursday",18 min.,18,15+ - Teens 15 or older,7.8,4162,Viki,Standard Series,"Food, Business, Comedy, Romance","Web Series, Short Length Series, Secretary Supporting Character, Love/Hate Relationship, Ex Comes Back, Restaurant Setting, Workplace Violence, Restaurateur Female Lead, Neighbors' Relationship, Company President (CEO) Male Lead, (Vote tags)",,Jang Yoo Yeon,3709,2004,4162,0.28,0
Delivery Man,2023,https://mydramalist.com/725297-delivery-man,12,"Mar  1, 2023 - Apr  6, 2023","Mar  1, 2023","Apr  6, 2023","Wednesday, Thursday",1 hr. 10 min.,70,Not Yet Rated,7.8,5229,Viki,Standard Series,"Mystery, Comedy, Romance, Supernatural","Taxi Setting, Taxi Driver Male Lead, Ghost Female Lead, Ghost, Older Woman/Younger Man, Death, Ghost-seeing Male Lead, Amnesia, Investigation, Death Of A Mother, (Vote tags)","Kang Sol, Park Dae Hee","Park Hye Young, Han Bo Kyung, Joo Hyo Jin",3453,1486,5229,0.49,0
Face Me,2024,https://mydramalist.com/746011-look-at-me,12,"Nov  6, 2024 - Dec 12, 2024","Nov  6, 2024","Dec 12, 2024","Wednesday, Thursday",55 min.,55,15+ - Teens 15 or older,7.8,4171,Viki,Standard Series,"Thriller, Mystery, Medical","Co-workers' Relationship, Suspense, Surgical Procedure, Ex-Convict Supporting Character, Death Of A Girlfriend, Death Of A Fiancée, Plastic Surgeon Supporting Character, Plastic Surgeon Male Lead, Surgeon Male Lead, Police Officer Supporting Character, (Vote tags)",Ahn Sang Hoon,Hwang Ye Jin,3310,1744,4171,0.56,0
Dreaming of a Freaking Fairytale,2024,https://mydramalist.com/754061-she-dreams-of-cinderella,10,"May 31, 2024 - Jun 28, 2024","May 31, 2024","Jun 28, 2024",Friday,42 min.,42,15+ - Teens 15 or older,7.8,13205,Amazon Prime Video,Standard Series,"Comedy, Romance","Rich Man/Poor Woman, Cinderella Complex, Cartoon Sound Effects, Selfish Female Lead, Age Gap [Real Life], Workplace Setting, Company President (CEO) Male Lead, Desperate Female Lead, Obsessive Female Lead, Gold-Digger Female Lead, (Vote tags)",Kim Min Kyung,Yoo Ja,3563,576,13205,0.71,1
Scripting Your Destiny,2021,https://mydramalist.com/684919-writing-your-fate,10,"Mar 26, 2021","Mar 26, 2021",,Friday,25 min.,25,15+ - Teens 15 or older,7.8,4437,"Apple TV+, Tubi, Viki, iQIYI",Standard Series,"Comedy, Romance, Fantasy","Fate, Web Series, Hidden Identity, First Love, Flashback To Past, Deity Supporting Character, Deity Male Lead, Star Crossed Lovers, Forbidden Love, Bromance, (Vote tags)",Kim Byung Soo,Eun Seon U,3373,1717,4437,0.8,1
My Bias Is Showing?!,2025,https://mydramalist.com/764557-my-bias-is-showing,10,"Aug 28, 2025 - Sep 25, 2025","Aug 28, 2025","Sep 25, 2025",Thursday,23 min.,23,15+ - Teens 15 or older,7.8,621,iQIYI,Web Series,"Comedy, Romance, Youth","Famous Man/Common Man, Idol Male Lead, Teacher Male Lead, Fan Male Lead, Musician Male Lead, Singer Male Lead, Gay Male Lead, Gay Romance, Famous Male Lead, Popular Male Lead, (Vote tags)",Baek Min Hee,Kang Jae Hyun,3695,2666,621,0.58,0
Tastefully Yours,2025,https://mydramalist.com/772689-your-taste,10,"May 12, 2025 - Jun 10, 2025","May 12, 2025","Jun 10, 2025","Monday, Tuesday",60 min.,60,15+ - Teens 15 or older,7.8,16138,Netflix,Standard Series,"Comedy, Romance, Drama","Restaurateur Male Lead, Chef Female Lead, Cooking, Food, Company President (CEO) Male Lead, Miniseries, Brothers' Relationship, Partially Filmed Abroad, Restaurant Setting, Chef Supporting Character, (Vote tags)",Park Dhan Hee,Jung Soo Yoon,3596,538,16138,1,1
Hope or Dope,2022,https://mydramalist.com/709055-boys-flight,10,"Mar 25, 2022","Mar 25, 2022",,Friday,35 min.,35,18+ Restricted (violence & profanity),7.8,2836,Viki,Standard Series,"Crime, Youth, Drama","Countryside Setting, Teenager Female Lead, Miniseries, Friendship, Village Setting, Serious Male Lead, Independent Female Lead, High School, Slight Romance, Death Of A Mother, (Vote tags)",Jo Yong Ik,Jung Soo Yoon,3765,2275,2836,0.42,0
Your Honor,2024,https://mydramalist.com/726979-your-honor,10,"Aug 12, 2024 - Sep 10, 2024","Aug 12, 2024","Sep 10, 2024","Monday, Tuesday",1 hr. 10 min.,70,Not Yet Rated,7.8,1742,Viki,Standard Series,"Thriller, Law, Crime, Drama","Non-MDL Remake, Chairman Male Lead, Judge Male Lead, Criminal Organization, Miniseries, Father-Son Relationship, Death, Revenge, Murder, Suspense, (Vote tags)",Yoo Jong Sun,,3474,2665,1742,0.56,0
Queen Woo,2024,https://mydramalist.com/720329-the-queen-woo,8,"Aug 29, 2024 - Sep 12, 2024","Aug 29, 2024","Sep 12, 2024",Thursday,50 min.,50,18+ Restricted (violence & profanity),7.8,6170,"Apple TV+, Paramount+",Standard Series,"Action, Historical, Romance, Political","Goguryeo Dynasty, Prolonged Nudity, Queen Female Lead, Historical Figure, Sexual Content, Nudity, King Male Lead, Married Female Lead, Married Male Lead, Tribe, (Vote tags)",Jung Se Kyo,Lee Byung Hak,3802,939,6170,1,1
Cherry Blossoms after Winter,2022,https://mydramalist.com/709781-cherry-blossoms-after-winter,8,"Feb 24, 2022 - Apr 14, 2022","Feb 24, 2022","Apr 14, 2022",Thursday,25 min.,25,15+ - Teens 15 or older,7.8,31663,"Apple TV+, Viki, WeTV",Standard Series,"Romance, Youth, Drama","Gay Romance, LGBTQ+, Gay Male Lead, Adapted From A Webtoon, Height Difference, Cohabitation, Long Time Crush, Web Series, Bullied Male Lead, High School, (Vote tags)",Yoon Joon Ho,,3871,297,31663,0.87,1
A Breeze of Love,2023,https://mydramalist.com/754159-weather-forecast-love,8,"Nov 10, 2023","Nov 10, 2023",,Friday,18 min.,18,13+ - Teens 13 or older,7.8,13672,iQIYI,Standard Series,"Romance, Sports","High School Crush, Gay Romance, Insomnia, Meet Again, Flashback To Past, University, Basketball, Basketball Player Male Lead, Athlete Male Lead, Gay Male Lead, (Vote tags)",Kim Ah Young,,3840,878,13672,0.44,0
Love Tractor,2023,https://mydramalist.com/722885-a-tractor-loaded-with-love,8,"Jun  7, 2023 - Jun 21, 2023","Jun  7, 2023","Jun 21, 2023",Wednesday,25 min.,25,13+ - Teens 13 or older,7.8,14194,iQIYI,Standard Series,"Comedy, Romance, Life","Countryside Setting, Gay Male Lead, Nice Male Lead, Innocent Male Lead, Farmer Male Lead, Cheerful Male Lead, Gay Romance, Calm Male Lead, Adapted From A Webtoon, LGBTQ+, (Vote tags)",Yang Kyung Hee,Choi Yi Yoon,3548,838,14194,0.44,0
Jazz for Two,2024,https://mydramalist.com/754665-jazz-for-two,8,"Mar 26, 2024 - Mar 29, 2024","Mar 26, 2024","Mar 29, 2024","Tuesday, Wednesday, Thursday, Friday",30 min.,30,15+ - Teens 15 or older,7.8,17557,iQIYI,Standard Series,"Music, Romance, Youth","Gay Romance, Bully Male Lead, LGBTQ+, Pianist Male Lead, School Bullying, Adapted From A Webtoon, Transfer Student Male Lead, Aggressive Male Lead, Student Male Lead, School Setting, (Vote tags)",Kang Hye Rim,,3438,670,17557,0.51,0
A Killer Paradox,2024,https://mydramalist.com/729303-the-murderer-and-the-toy,8,"Feb  9, 2024","Feb  9, 2024",,Friday,54 min.,54,18+ Restricted (violence & profanity),7.8,23697,Netflix,Standard Series,"Thriller, Mystery, Psychological, Supernatural","Black Comedy, Sexual Content, Morally Ambiguous Male Lead, Detective Male Lead, Dark Fiction, Nudity, Adapted From A Webtoon, Dog, Violence, Investigation, (Vote tags)",Lee Chang Hee,Kim Da Min,3245,341,23697,1,1
Chip In,2020,https://mydramalist.com/56653-pitch-in,8,"Jul 22, 2020 - Aug 13, 2020","Jul 22, 2020","Aug 13, 2020","Wednesday, Thursday",60 min.,60,15+ - Teens 15 or older,7.8,1675,Viki,Standard Series,"Thriller, Mystery, Comedy","Death, Black Comedy, Infidelity, Mother-Daughter Relationship, Investigation, Suspense, Drama, Emotionally Strong Female Lead, Mistress Female Lead, Death Of A Mother, (Vote tags)",Jin Chang Gyu,Choi Kyung,3831,4195,1675,0.28,0
Hope or Dope 2,2022,https://mydramalist.com/709057-boys-flight-2,8,"May 31, 2022","May 31, 2022",,Tuesday,30 min.,30,18+ Restricted (violence & profanity),7.8,1755,Viki,Standard Series,"Youth, Drama","Village Setting, Countryside Setting, Drug Dealer Female Lead, Teenager Female Lead, Teenager Male Lead, Troublemaker Female Lead, Drug Trafficking, Slight Romance, Miniseries, Web Series, (Vote tags)",Jo Yong Ik,Jung Soo Yoon,3435,3716,1755,0.42,0
Roommates of Poongduck 304,2022,https://mydramalist.com/723171-the-circumstances-of-pungdeok-villa-room-304,8,"Oct 13, 2022 - Nov  3, 2022","Oct 13, 2022","Nov  3, 2022",Thursday,25 min.,25,13+ - Teens 13 or older,7.8,22887,Viki,Standard Series,"Business, Romance","Bisexual Male Lead, LGBTQ+, Office Worker Male Lead, Team Leader Male Lead, Gay Romance, Housemates' Relationship, Landlord Male Lead, Gay Male Lead, Superior/Subordinate Relationship, Miniseries, (Vote tags)",Teddy Hwang,No Ga Jeong,3816,490,22887,0.47,0
Tracer,2022,https://mydramalist.com/695145-tracer,8,"Jan  7, 2022 - Jan 29, 2022","Jan  7, 2022","Jan 29, 2022","Friday, Saturday",60 min.,60,15+ - Teens 15 or older,7.8,1432,Viki,Standard Series,"Action, Thriller, Mystery, Drama","Corruption, Revenge, Investigation, Confident Male Lead, Scheme, Power Struggle, Miniseries, Suspense, Brave Male Lead, Death, (Vote tags)",Lee Seung Young,Kim Hyun Jung,3195,2410,1432,0.42,0
Tracer Season 2,2022,https://mydramalist.com/719957-tracer-season-2,8,"Feb 18, 2022","Feb 18, 2022",,Friday,1 hr. 10 min.,70,15+ - Teens 15 or older,7.8,723,Viki,Standard Series,"Action, Thriller, Mystery, Drama","Confident Male Lead, Corruption, Revenge, Investigation, Suspense, Miniseries, (Vote tags)",Lee Seung Young,Kim Hyun Jung,3649,5113,723,0.42,0
